Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Services\AzureBlobDocumentStorageService.cs,22,12,T:System.Uri,,,,,"var serviceClient = new BlobServiceClient(new Uri(storageOptions.AccountUri), new DefaultAzureCredential());"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Services\AzureBlobDocumentStorageService.cs,22,12,M:System.Uri.#ctor(System.String),,,,,"var serviceClient = new BlobServiceClient(new Uri(storageOptions.AccountUri), new DefaultAzureCredential());"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AuthorizeNetPaymentProcessorGateway.cs,197,8,T:System.Text.Json.JsonDocument,,,,,"using var document = JsonDocument.Parse(string.IsNullOrWhiteSpace(json) ? ""{}"" : json);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AuthorizeNetPaymentProcessorGateway.cs,197,8,T:System.Text.Json.JsonDocument,,,,,"using var document = JsonDocument.Parse(string.IsNullOrWhiteSpace(json) ? ""{}"" : json);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AuthorizeNetPaymentProcessorGateway.cs,195,8,T:System.Net.Http.HttpContent,,,,,var json = await response.Content.ReadAsStringAsync(cancellationToken);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AuthorizeNetPaymentProcessorGateway.cs,189,8,T:System.Net.Http.HttpContent,,,,,"using var request = new HttpRequestMessage(HttpMethod.Post, baseUrl)          {              Content = new StringContent(JsonSerializer.Serialize(payload), Encoding.UTF8, ""application/json"")          };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AuthorizeNetPaymentProcessorGateway.cs,132,8,T:System.Uri,,,,,"return PaymentProcessorGatewayResult.Success(PaymentProcessorOperationStatus.Pending.ToString(), token, ""created"", $""{baseUrl}?token={Uri.EscapeDataString(token)}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,189,4,T:System.Net.Http.HttpContent,,,,,"private static void AddSignatureHeader(PaymentProcessorGatewayContext context, HttpContent content, string payload)"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,175,4,T:System.Uri,,,,,"private static HttpClient CreateClient(PaymentProcessorGatewayContext context, Uri endpoint)"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Payments\AchPaymentProcessorGateway.cs,177,8,P:System.Uri.AbsoluteUri,,,,,"var http = new HttpClient { BaseAddress = endpoint.AbsoluteUri.EndsWith('/') ? endpoint : new Uri(endpoint.AbsoluteUri + ""/"") };"
